,test_name,hopefield_time,ip_time,hopefield_error,ip_error,hopefield_optimum,ip_optimum
0,5C0,0.659064586,0.29120013499999997,4.761449708827481,-3.853272027010135e-05,2.718766,2.5951959999999996
0,5C1,0.03857993999999998,0.0027685910000001535,3.3679601462726527,0.0,2.24696,2.173749
0,6C0,0.04482098400000023,0.010544835000000141,16.996702455963874,0.0,2.633322,2.250766
0,6C1,0.7332830160000001,0.0496010560000002,22.523912509235778,4.0221200503509635e-05,3.046252,2.486252
0,7C0,1.8211989099999997,0.1338878690000005,6.460687790777686,-3.6492607846660974e-05,2.9173220000000004,2.7402800000000007
0,7C1,0.028439885000000054,0.15956703300000008,4.533237838550996,-2.220446049250313e-14,2.218488,2.1222799999999995
0,8C0,0.13548377199999972,0.073341718,20.665966921767833,-2.220446049250313e-14,2.960268,2.4532749999999997
0,8C1,0.2627501290000005,0.07292982799999947,25.100856671386463,3.969562978323182e-05,3.151502,2.51917
0,9C0,0.49815909199999986,0.10763937699999993,0.0,2.220446049250313e-14,3.109226,3.1092260000000005
0,9C1,0.3105062329999999,0.019991551000000385,27.85743600645434,-3.690728740401994e-05,3.464287,2.7094910000000003
0,10C0,2.8752999499999987,0.052627646999999556,23.382386816006928,3.0919308358079434e-05,3.9904640000000002,3.2342260000000005
0,10C1,0.8890959379999988,0.21963903600000023,26.83169840045383,-3.645606241331478e-05,3.479029,2.743027
0,15C0,3.677967133000001,2.6718942960000014,26.83169840045383,-3.645606241331478e-05,4.7372890000000005,3.0096580000000004
0,15C1,12.438438810999997,0.6356097239999983,26.83169840045383,-3.645606241331478e-05,4.258132999999999,3.0125649999999995
0,20C0,69.356584627,1.5850232429999949,26.83169840045383,-3.645606241331478e-05,5.648820000000001,3.4909719999999997
0,20C1,70.04429183200001,1.5593730699999924,26.83169840045383,-3.645606241331478e-05,7.653921,4.293266
0,40C0,758.9422284899999,115.4317775070001,26.83169840045383,-3.645606241331478e-05,13.618162000000005,5.575905
0,40C1,760.5376051679998,47.78144178299999,26.83169840045383,-3.645606241331478e-05,17.484211999999996,5.165323000000001
